date,temperature,humidity,luminosity
2019-12-04 14:42:41.226,22.3,31.6,24
2019-12-04 14:42:43.504,22.3,31.4,24
2019-12-04 14:42:45.777,22.3,31.2,23
2019-12-04 14:42:48.055,22.4,31.0,24
2019-12-04 14:42:50.328,22.3,30.9,24
2019-12-04 14:42:52.605,22.3,30.8,24
2019-12-04 14:42:54.883,22.3,30.8,24
2019-12-04 14:42:57.155,22.3,30.7,24
2019-12-04 14:42:59.432,22.3,30.7,24
2019-12-04 14:43:01.710,22.3,30.6,24
2019-12-04 14:43:03.983,22.3,30.5,24
2019-12-04 14:43:06.260,22.3,30.4,24
2019-12-04 14:43:08.538,22.3,30.3,24
2019-12-04 14:43:10.811,22.3,30.3,24
2019-12-04 14:43:13.088,22.3,30.2,21
2019-12-04 14:43:15.366,22.3,30.2,24
2019-12-04 14:43:17.639,22.3,30.2,20
2019-12-04 14:43:19.916,22.3,30.1,21
2019-12-04 14:43:22.194,22.3,30.0,21
2019-12-04 14:43:24.467,22.3,30.0,21
2019-12-04 14:43:26.744,22.3,29.9,21
2019-12-04 14:43:29.022,22.4,29.9,20
2019-12-04 14:43:31.295,22.3,29.9,19
2019-12-04 14:43:33.572,22.3,29.8,20
2019-12-04 14:43:35.849,22.3,29.8,21
2019-12-04 14:43:38.123,22.3,29.8,21
2019-12-04 14:43:40.401,22.3,29.9,20
2019-12-04 14:43:42.678,22.3,29.8,21
2019-12-04 14:43:44.952,22.3,29.8,21
2019-12-04 14:43:47.229,22.3,29.8,20
2019-12-04 14:43:49.505,22.3,29.7,20
2019-12-04 14:43:51.779,22.3,29.6,20
2019-12-04 14:43:54.057,22.3,29.6,21
2019-12-04 14:43:56.333,22.3,29.5,21
2019-12-04 14:43:58.607,22.3,29.5,20
2019-12-04 14:44:00.884,22.3,29.4,20
2019-12-04 14:44:03.162,22.3,29.4,20
2019-12-04 14:44:05.434,22.3,29.3,20
2019-12-04 14:44:07.713,22.3,29.2,20
2019-12-04 14:44:09.985,22.3,29.1,21
2019-12-04 14:44:12.262,22.3,29.2,21
2019-12-04 14:44:14.540,22.3,29.5,21
2019-12-04 14:44:16.813,22.3,29.7,21
2019-12-04 14:44:19.091,22.3,29.7,21
2019-12-04 14:44:21.368,22.3,29.6,20
2019-12-04 14:44:23.641,22.3,29.5,20
2019-12-04 14:44:25.918,22.3,29.6,20
2019-12-04 14:44:28.195,22.3,29.5,20
2019-12-04 14:44:30.468,22.3,29.5,21
2019-12-04 14:44:32.746,22.4,29.4,20
2019-12-04 14:44:35.023,22.3,29.4,20
2019-12-04 14:44:37.296,22.3,29.4,20
2019-12-04 14:44:39.574,22.4,29.5,20
2019-12-04 14:44:41.847,22.3,29.6,20
2019-12-04 14:44:44.124,22.3,29.6,20
2019-12-04 14:44:46.402,22.3,29.6,20
2019-12-04 14:44:48.674,22.3,29.5,20
2019-12-04 14:44:50.952,22.3,29.4,20
2019-12-04 14:44:53.229,22.3,29.3,23
2019-12-04 14:44:55.503,22.3,29.3,23
2019-12-04 14:44:57.781,22.3,29.3,24
2019-12-04 14:45:00.057,22.3,29.4,23
2019-12-04 14:45:02.330,22.3,29.3,24
2019-12-04 14:45:04.608,22.3,29.3,24
2019-12-04 14:45:06.885,22.3,29.3,23
2019-12-04 14:45:09.158,22.3,29.4,23
2019-12-04 14:45:11.436,22.3,29.4,23
2019-12-04 14:45:13.713,22.3,29.5,23
2019-12-04 14:45:15.986,22.3,29.5,22
2019-12-04 14:45:18.264,22.3,29.4,22
2019-12-04 14:45:20.541,22.3,29.4,24
2019-12-04 14:45:22.814,22.3,29.4,24
2019-12-04 14:45:25.091,22.3,29.5,24
2019-12-04 14:45:27.368,22.3,29.4,23
2019-12-04 14:45:29.641,22.3,29.4,23
2019-12-04 14:45:31.919,22.3,29.4,24
2019-12-04 14:45:34.192,22.3,29.4,24
2019-12-04 14:45:36.469,22.3,29.5,24
2019-12-04 14:45:38.746,22.3,29.5,23
2019-12-04 14:45:41.019,22.3,29.5,23
2019-12-04 14:45:43.297,22.3,29.5,23
2019-12-04 14:45:45.574,22.4,29.4,24
2019-12-04 14:45:47.847,22.4,29.4,23
2019-12-04 14:45:50.124,22.3,29.4,23
2019-12-04 14:45:52.401,22.3,29.4,24
2019-12-04 14:45:54.674,22.3,29.4,24
2019-12-04 14:45:56.952,22.3,29.6,23
2019-12-04 14:45:59.229,22.3,29.6,23
2019-12-04 14:46:01.503,22.4,29.6,23
2019-12-04 14:46:03.780,22.3,29.5,23
2019-12-04 14:46:06.053,22.4,29.5,23
2019-12-04 14:46:08.330,22.4,29.4,23
2019-12-04 14:46:10.607,22.3,29.4,23
2019-12-04 14:46:12.880,22.4,29.3,23
2019-12-04 14:46:15.158,22.4,29.3,23
2019-12-04 14:46:17.435,22.3,29.2,23
2019-12-04 14:46:19.708,22.4,29.2,23
2019-12-04 14:46:21.986,22.4,29.2,23
2019-12-04 14:46:24.260,22.4,29.2,23
2019-12-04 14:46:26.537,22.4,29.2,24
2019-12-04 14:46:28.814,22.4,29.2,23
2019-12-04 14:46:31.088,22.4,29.2,24
2019-12-04 14:46:33.365,22.4,29.1,23
2019-12-04 14:46:35.637,22.4,29.1,24
2019-12-04 14:46:37.914,22.4,29.1,24
2019-12-04 14:46:40.188,22.4,29.0,24
2019-12-04 14:46:42.467,22.4,29.0,24
2019-12-04 14:46:44.745,22.3,29.0,24
2019-12-04 14:46:47.017,22.4,29.0,23
2019-12-04 14:46:49.294,22.4,29.0,24
2019-12-04 14:46:51.571,22.3,29.0,24
2019-12-04 14:46:53.845,22.3,29.1,24
2019-12-04 14:46:56.122,22.4,29.1,24
2019-12-04 14:46:58.396,22.4,29.0,24
2019-12-04 14:47:00.672,22.4,29.0,24
2019-12-04 14:47:02.949,22.4,29.0,24
2019-12-04 14:47:05.223,22.4,29.0,24
2019-12-04 14:47:07.501,22.4,29.1,24
2019-12-04 14:47:09.773,22.4,29.1,24
2019-12-04 14:47:12.050,22.4,29.1,24
2019-12-04 14:47:14.328,22.4,29.1,24
2019-12-04 14:47:16.602,22.4,29.1,24
2019-12-04 14:47:18.879,22.4,29.1,22
2019-12-04 14:47:21.152,22.4,29.1,23
2019-12-04 14:47:23.429,22.4,29.1,21
2019-12-04 14:47:25.702,22.4,29.1,21
2019-12-04 14:47:27.980,22.4,29.1,21
2019-12-04 14:47:30.257,22.4,29.1,22
2019-12-04 14:47:32.530,22.4,29.2,22
2019-12-04 14:47:34.807,22.4,29.3,21
2019-12-04 14:47:37.080,22.4,29.4,21
2019-12-04 14:47:39.358,22.4,29.4,21
2019-12-04 14:47:41.635,22.4,29.4,21
2019-12-04 14:47:43.908,22.4,29.4,21
2019-12-04 14:47:46.185,22.4,29.5,19
2019-12-04 14:47:48.464,22.4,29.5,18
2019-12-04 14:47:50.736,22.4,29.5,19
2019-12-04 14:47:53.014,22.4,29.5,20
2019-12-04 14:47:55.287,22.4,29.4,19
2019-12-04 14:47:57.564,22.4,29.4,19
2019-12-04 14:47:59.842,22.4,29.4,19
2019-12-04 14:48:02.115,22.4,29.4,18
2019-12-04 14:48:04.392,22.4,29.4,19
2019-12-04 14:48:06.665,22.4,29.4,20
2019-12-04 14:48:08.942,22.4,29.4,19
2019-12-04 14:48:11.221,22.4,29.4,19
2019-12-04 14:48:13.493,22.4,29.4,19
2019-12-04 14:48:15.770,22.4,29.4,24
2019-12-04 14:48:18.048,22.4,29.4,22
2019-12-04 14:48:20.321,22.4,29.4,24
2019-12-04 14:48:22.599,22.4,29.4,24
2019-12-04 14:48:24.871,22.4,29.4,24
2019-12-04 14:48:27.148,22.4,29.4,24
2019-12-04 14:48:29.426,22.4,29.4,24
2019-12-04 14:48:31.699,22.4,29.4,24
2019-12-04 14:48:33.977,22.4,29.4,24
2019-12-04 14:48:36.251,22.4,29.3,9
2019-12-04 14:48:38.527,22.4,29.3,21
2019-12-04 14:48:40.804,22.4,29.3,20
2019-12-04 14:48:43.077,22.4,29.3,20
2019-12-04 14:48:45.355,22.4,29.3,19
2019-12-04 14:48:47.629,22.4,29.3,22
2019-12-04 14:48:49.906,22.4,29.4,22
2019-12-04 14:48:52.183,22.5,29.5,22
2019-12-04 14:48:54.457,22.5,29.5,22
2019-12-04 14:48:56.734,22.4,29.4,22
2019-12-04 14:48:59.011,22.5,29.4,22
2019-12-04 14:49:01.285,22.4,29.3,22
2019-12-04 14:49:03.561,22.4,29.3,21
2019-12-04 14:49:05.835,22.4,29.5,21
2019-12-04 14:49:08.111,22.4,29.6,20
2019-12-04 14:49:10.389,22.5,29.7,21
2019-12-04 14:49:12.662,22.5,29.8,21
2019-12-04 14:49:14.940,22.5,29.8,21
2019-12-04 14:49:17.212,22.5,29.9,19
2019-12-04 14:49:19.490,22.5,29.8,19
2019-12-04 14:49:21.767,22.5,29.9,19
2019-12-04 14:49:24.040,22.5,29.9,19
2019-12-04 14:49:26.318,22.5,30.0,19
2019-12-04 14:49:28.595,22.5,30.1,19
2019-12-04 14:49:30.868,22.5,30.1,18
2019-12-04 14:49:33.145,22.5,30.1,19
2019-12-04 14:49:35.423,22.5,30.5,19
2019-12-04 14:49:37.696,22.5,30.7,18
2019-12-04 14:49:39.974,22.5,30.6,18
2019-12-04 14:49:42.247,22.5,30.6,18
2019-12-04 14:49:44.525,22.5,30.6,19
2019-12-04 14:49:46.801,22.5,30.5,18
2019-12-04 14:49:49.075,22.5,30.6,18
2019-12-04 14:49:51.352,22.5,30.6,5
2019-12-04 14:49:53.625,22.5,30.6,11
2019-12-04 14:49:55.902,22.5,31.1,11
2019-12-04 14:49:58.180,22.5,31.2,19
2019-12-04 14:50:00.453,22.5,31.1,19
2019-12-04 14:50:02.730,22.6,31.5,17
2019-12-04 14:50:05.007,22.5,32.3,20
2019-12-04 14:50:07.281,22.5,33.0,9
2019-12-04 14:50:09.558,22.6,33.8,16
2019-12-04 14:50:11.835,22.6,33.6,11
2019-12-04 14:50:14.108,22.6,33.9,16
2019-12-04 14:50:16.385,22.6,35.6,0
2019-12-04 14:50:18.659,22.6,36.2,0
2019-12-04 14:50:20.937,22.7,37.1,0
2019-12-04 14:50:23.213,22.7,39.5,0
2019-12-04 14:50:25.486,22.7,39.3,0
2019-12-04 14:50:27.764,22.7,38.7,0
2019-12-04 14:50:30.041,22.8,37.8,52
2019-12-04 14:50:32.319,22.8,37.5,197
2019-12-04 14:50:34.592,22.8,37.2,177
2019-12-04 14:50:36.869,22.9,37.2,169
2019-12-04 14:50:39.147,22.9,38.7,189
2019-12-04 14:50:41.419,22.9,40.5,66
2019-12-04 14:50:43.696,23.0,43.1,128
2019-12-04 14:50:45.970,23.0,46.0,63
2019-12-04 14:50:48.247,23.1,49.4,53
2019-12-04 14:50:50.524,23.2,49.9,45
2019-12-04 14:50:52.797,23.2,52.2,68
2019-12-04 14:50:55.075,23.3,54.2,100
2019-12-04 14:50:57.352,23.3,54.5,144
2019-12-04 14:50:59.629,23.4,57.6,100
2019-12-04 14:51:01.902,23.6,62.3,104
2019-12-04 14:51:04.179,23.6,59.9,198
2019-12-04 14:51:06.457,23.7,55.9,204
2019-12-04 14:51:08.730,23.8,52.4,179
2019-12-04 14:51:11.007,23.8,49.6,185
2019-12-04 14:51:13.284,23.8,47.0,185
2019-12-04 14:51:15.562,23.9,44.6,183
2019-12-04 14:51:17.835,23.9,42.5,174
2019-12-04 14:51:20.112,23.9,40.6,93
2019-12-04 14:51:22.386,23.9,42.4,77
2019-12-04 14:51:24.663,23.9,44.8,132
2019-12-04 14:51:26.940,23.9,50.2,110
2019-12-04 14:51:29.218,24.0,53.2,180
2019-12-04 14:51:31.490,24.0,53.7,156
2019-12-04 14:51:33.768,24.0,53.2,74
2019-12-04 14:51:36.041,24.1,49.4,18
2019-12-04 14:51:38.319,24.2,46.6,41
2019-12-04 14:51:40.597,24.2,45.7,116
2019-12-04 14:51:42.871,24.2,46.3,95
2019-12-04 14:51:45.147,24.2,44.8,128
2019-12-04 14:51:47.425,24.2,43.6,73
2019-12-04 14:51:49.698,24.2,42.9,41
2019-12-04 14:51:51.976,24.3,43.8,51
2019-12-04 14:51:54.253,24.2,46.0,77
2019-12-04 14:51:56.530,24.3,47.9,205
2019-12-04 14:51:58.804,24.3,46.1,223
2019-12-04 14:52:01.080,24.4,43.8,227
2019-12-04 14:52:03.358,24.4,41.8,226
2019-12-04 14:52:05.631,24.4,39.9,229
2019-12-04 14:52:07.908,24.4,38.3,182
2019-12-04 14:52:10.186,24.4,37.0,176
2019-12-04 14:52:12.459,24.4,35.9,189
2019-12-04 14:52:14.737,24.4,34.8,203
2019-12-04 14:52:17.014,24.4,33.7,200
2019-12-04 14:52:19.287,24.4,32.9,192
2019-12-04 14:52:21.564,24.4,32.1,182
2019-12-04 14:52:23.841,24.4,31.4,186
2019-12-04 14:52:26.114,24.4,30.9,185
2019-12-04 14:52:28.392,24.3,30.5,186
2019-12-04 14:52:30.669,24.3,30.1,179
2019-12-04 14:52:32.942,24.3,29.7,180
2019-12-04 14:52:35.219,24.2,29.6,178
2019-12-04 14:52:37.497,24.2,29.6,178
2019-12-04 14:52:39.770,24.2,29.5,181
2019-12-04 14:52:42.047,24.2,29.4,183
2019-12-04 14:52:44.324,24.2,29.4,183
2019-12-04 14:52:46.598,24.2,29.2,185
2019-12-04 14:52:48.875,24.1,29.2,187
2019-12-04 14:52:51.152,24.1,29.0,189
2019-12-04 14:52:53.426,24.1,28.8,186
2019-12-04 14:52:55.704,24.1,28.6,184
2019-12-04 14:52:57.976,24.1,28.5,175
2019-12-04 14:53:00.254,24.0,28.2,209
2019-12-04 14:53:02.531,24.0,28.1,249
2019-12-04 14:53:04.804,24.0,27.9,252
2019-12-04 14:53:07.081,24.0,27.8,250
2019-12-04 14:53:09.358,24.0,28.0,222
2019-12-04 14:53:11.632,24.0,29.1,249
2019-12-04 14:53:13.909,24.0,30.5,250
2019-12-04 14:53:16.186,24.0,31.0,250
2019-12-04 14:53:18.460,24.0,31.0,250
2019-12-04 14:53:20.737,23.9,30.7,252
2019-12-04 14:53:23.014,23.9,30.4,250
2019-12-04 14:53:25.287,23.9,30.0,252
2019-12-04 14:53:27.565,24.0,29.7,252
2019-12-04 14:53:29.842,23.9,29.5,252
2019-12-04 14:53:32.116,23.9,29.3,252
2019-12-04 14:53:34.393,23.9,29.2,249
2019-12-04 14:53:36.666,23.9,29.0,252
2019-12-04 14:53:38.944,23.9,28.8,249
2019-12-04 14:53:41.221,23.8,28.6,245
2019-12-04 14:53:43.494,23.8,28.5,249
2019-12-04 14:53:45.771,23.8,28.4,242
2019-12-04 14:53:48.048,23.8,28.3,247
2019-12-04 14:53:50.322,23.8,28.2,245
2019-12-04 14:53:52.599,23.8,28.2,249
2019-12-04 14:53:54.876,23.8,28.2,213
2019-12-04 14:53:57.149,23.7,28.6,212
2019-12-04 14:53:59.427,23.7,29.1,208
2019-12-04 14:54:01.704,23.8,29.3,205
2019-12-04 14:54:03.977,23.7,29.3,232
2019-12-04 14:54:06.255,23.7,29.3,231
2019-12-04 14:54:08.532,23.7,29.2,237
2019-12-04 14:54:10.805,23.7,29.1,225
2019-12-04 14:54:13.083,23.7,29.0,219
2019-12-04 14:54:15.360,23.7,28.9,201
2019-12-04 14:54:17.633,23.6,28.7,231
2019-12-04 14:54:19.910,23.6,28.6,242
2019-12-04 14:54:22.188,23.6,28.6,247
2019-12-04 14:54:24.461,23.6,28.6,245
2019-12-04 14:54:26.738,23.6,28.5,245
2019-12-04 14:54:29.016,23.6,28.6,245
2019-12-04 14:54:31.289,23.6,28.6,245
2019-12-04 14:54:33.566,23.6,28.5,243
2019-12-04 14:54:35.843,23.6,28.5,247
2019-12-04 14:54:38.117,23.6,28.4,242
2019-12-04 14:54:40.394,23.5,28.3,245
2019-12-04 14:54:42.667,23.5,28.3,249
2019-12-04 14:54:44.945,23.5,28.2,249
2019-12-04 14:54:47.222,23.5,28.2,250
2019-12-04 14:54:49.495,23.5,28.3,249
2019-12-04 14:54:51.772,23.5,28.3,249
2019-12-04 14:54:54.050,23.5,28.3,232
2019-12-04 14:54:56.326,23.5,28.3,234
2019-12-04 14:54:58.600,23.5,28.2,234
2019-12-04 14:55:00.877,23.5,28.2,237
2019-12-04 14:55:03.151,23.5,28.1,237
2019-12-04 14:55:05.428,23.5,28.1,237
2019-12-04 14:55:07.705,23.5,28.1,235
2019-12-04 14:55:09.978,23.4,28.0,249
2019-12-04 14:55:12.255,23.4,28.0,245
2019-12-04 14:55:14.533,23.5,28.1,240
2019-12-04 14:55:16.806,23.4,28.0,242
2019-12-04 14:55:19.083,23.4,28.0,250
2019-12-04 14:55:21.361,23.4,28.0,250
2019-12-04 14:55:23.634,23.4,28.0,250
2019-12-04 14:55:25.911,23.4,28.0,250
2019-12-04 14:55:28.184,23.4,28.0,249
2019-12-04 14:55:30.462,23.4,28.1,249
2019-12-04 14:55:32.739,23.4,28.1,247
2019-12-04 14:55:35.012,23.4,28.1,250
2019-12-04 14:55:37.289,23.4,28.1,249
2019-12-04 14:55:39.568,23.3,28.1,249
2019-12-04 14:55:41.840,23.3,28.1,250
2019-12-04 14:55:44.117,23.4,28.1,252
2019-12-04 14:55:46.390,23.3,28.1,252
2019-12-04 14:55:48.668,23.3,28.1,250
2019-12-04 14:55:50.945,23.3,28.1,252
2019-12-04 14:55:53.218,23.3,28.1,250
2019-12-04 14:55:55.496,23.3,28.1,250
